Bug,entropy_delta,Invalidator,FIXCHECK,LLM4PatchCorrectness,DL4PatchCorrectness,RS-85,RS-95
Chart-1 (8:21),2.00,22.00,N/A,8.00,N/A,6.00,8.00
Chart-4 (5:1),1.00,1.00,2.00,N/A,N/A,2.00,2.00
Chart-7 (1:34),3.00,1.00,N/A,N/A,N/A,30.00,34.00
Chart-8 (1:0),N/A,1.00,1.00,1.00,1.00,1.00,1.00
Chart-9 (1:10),N/A,11.00,11.00,N/A,4.00,10.00,11.00
Chart-11 (3:0),1.00,1.00,1.00,1.00,N/A,1.00,1.00
Chart-20 (2:0),1.00,1.00,1.00,1.00,1.00,1.00,1.00
Chart-24 (3:0),N/A,1.00,N/A,1.00,N/A,1.00,1.00
Closure-2 (1:2),N/A,3.00,3.00,3.00,N/A,3.00,3.00
Closure-14 (1:0),1.00,1.00,N/A,N/A,N/A,1.00,1.00
Closure-46 (4:6),5.00,7.00,7.00,1.00,N/A,4.00,5.00
Closure-57 (2:2),3.00,3.00,3.00,N/A,N/A,3.00,3.00
Closure-62 (4:14),10.00,15.00,15.00,N/A,10.00,7.00,9.00
Closure-73 (2:0),1.00,1.00,1.00,1.00,1.00,1.00,1.00
Closure-86 (1:0),1.00,1.00,1.00,N/A,N/A,1.00,1.00
Closure-126 (5:14),10.00,15.00,N/A,5.00,N/A,6.00,8.00
Lang-6 (1:0),1.00,1.00,1.00,1.00,1.00,1.00,1.00
Lang-10 (3:7),3.00,8.00,8.00,N/A,N/A,5.00,6.00
Lang-33 (3:2),2.00,3.00,3.00,3.00,3.00,2.00,3.00
Lang-43 (2:2),2.00,3.00,3.00,1.00,2.00,3.00,3.00
Lang-55 (5:8),7.00,1.00,9.00,N/A,9.00,4.00,5.00
Lang-57 (5:5),N/A,6.00,N/A,2.00,N/A,3.00,4.00
Lang-58 (1:53),27.00,36.00,54.00,N/A,N/A,46.00,52.00
Lang-59 (4:25),1.00,1.00,N/A,1.00,N/A,11.00,15.00
Math-5 (3:0),1.00,1.00,1.00,N/A,N/A,1.00,1.00
Math-11 (3:0),N/A,1.00,1.00,1.00,N/A,1.00,1.00
Math-30 (4:6),5.00,6.00,7.00,3.00,N/A,4.00,5.00
Math-33 (3:97),96.00,68.00,27.00,N/A,N/A,47.00,63.00
Math-34 (2:0),N/A,1.00,1.00,N/A,1.00,1.00,1.00
Math-50 (9:73),N/A,74.00,48.00,34.00,20.00,15.00,23.00
Math-53 (1:2),1.00,3.00,3.00,N/A,1.00,3.00,3.00
Math-57 (2:2),2.00,3.00,2.00,2.00,N/A,3.00,3.00
Math-58 (1:18),N/A,18.00,N/A,1.00,N/A,17.00,19.00
Math-59 (2:0),1.00,1.00,1.00,1.00,N/A,1.00,1.00
Math-65 (1:0),1.00,N/A,N/A,1.00,N/A,1.00,1.00
Math-70 (3:2),1.00,3.00,3.00,1.00,2.00,2.00,3.00
Math-75 (3:0),1.00,1.00,1.00,N/A,N/A,1.00,1.00
Math-79 (1:3),4.00,4.00,N/A,N/A,N/A,4.00,4.00
Math-80 (1:47),8.00,1.00,48.00,N/A,N/A,41.00,46.00
Math-82 (3:17),7.00,17.00,N/A,6.00,N/A,9.00,12.00
Math-85 (4:51),29.00,28.00,N/A,N/A,4.00,21.00,29.00
Math-89 (3:0),1.00,1.00,1.00,N/A,1.00,1.00,1.00
Mockito-29 (2:5),5.00,6.00,6.00,N/A,N/A,4.00,5.00
Mockito-38 (4:0),1.00,1.00,1.00,N/A,N/A,1.00,1.00
Time-7 (4:4),4.00,5.00,N/A,1.00,3.00,3.00,4.00
Overall,6.94,8.80,8.59,3.38,4.00,7.42,9.02
